team_id,team_name,requirement
1,Speedsters FC,Sprinter/Speed-focused; 100m < 11s desirable
2,Enduro Runners,High VO2 endurance; 10km performance
3,PowerHouse,Strength & power athletes
4,Aqua Pros,Swimmers: 400m+ specialists
5,Trail Blazers,Trail endurance; ankle stability
6,City Cyclers,Cyclists with high FTP
7,Court Kings,Court-sport agility & vertical
8,Marathoners United,Marathon pacing specialists
9,Rowing Elite,Rowers: erg scores & height
10,Scouts Collective,General scouting team

